# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.285624999999999574e+00
2.000277970813059281e-05 6.533364999999999867e+00
4.000555941626118562e-05 6.765728000000000186e+00
6.000833912439177504e-05 7.025862000000000052e+00
8.001111883252237124e-05 7.295211000000000112e+00
1.000138985406529674e-04 7.579678000000000360e+00
1.200166782487835501e-04 7.899769000000000041e+00
1.400194579569141598e-04 8.231733999999999440e+00
1.600222376650447425e-04 8.596531999999999840e+00
1.800250173731753251e-04 8.977681000000000466e+00
2.000277970813059349e-04 9.372263000000000233e+00
2.200305767894365175e-04 9.804674000000000333e+00
2.400333564975671002e-04 1.030275100000000066e+01
2.600361362056977099e-04 1.081160000000000032e+01
2.800389159138283197e-04 1.139532799999999924e+01
3.000416956219588752e-04 1.202927999999999997e+01
3.200444753300894850e-04 1.272507000000000055e+01
3.400472550382200947e-04 1.348912200000000006e+01
3.600500347463506503e-04 1.442655300000000018e+01
3.800528144544812600e-04 1.535613200000000056e+01
4.000555941626118698e-04 1.650490299999999877e+01
4.200583738707424253e-04 1.778059299999999965e+01
4.400611535788730351e-04 1.921915100000000010e+01
4.600639332870036448e-04 2.088222000000000023e+01
4.800667129951342003e-04 2.300170900000000174e+01
5.000694927032648101e-04 2.536764000000000152e+01
5.200722724113954198e-04 2.829640699999999853e+01
5.400750521195260296e-04 3.224254599999999726e+01
5.600778318276566393e-04 3.803486800000000301e+01
5.800806115357871407e-04 4.650795500000000260e+01
6.000833912439177504e-04 6.128279700000000219e+01
6.200861709520483602e-04 8.498935199999999668e+01
6.400889506601789699e-04 1.210001529999999974e+02
6.600917303683095797e-04 1.722773190000000056e+02
6.800945100764401894e-04 2.369298970000000111e+02
7.000972897845707992e-04 3.133610659999999939e+02
7.201000694927013005e-04 3.913893130000000156e+02
7.401028492008319103e-04 4.588892880000000218e+02
7.601056289089625200e-04 5.010558459999999741e+02
7.801084086170931298e-04 5.099327940000000012e+02
8.001111883252237395e-04 4.866036250000000223e+02
8.201139680333543493e-04 4.427017779999999902e+02
8.401167477414848506e-04 3.914599109999999769e+02
8.601195274496154604e-04 3.417865709999999808e+02
8.801223071577460701e-04 2.936516520000000128e+02
9.001250868658766799e-04 2.525249169999999879e+02
9.201278665740072896e-04 2.063167699999999911e+02
9.401306462821378994e-04 1.550792500000000018e+02
9.601334259902684007e-04 1.022700880000000012e+02
9.801362056983990104e-04 5.762728899999999754e+01
1.000138985406529620e-03 2.071442100000000153e+01
1.020141765114660230e-03 -1.100789999999999935e+00
1.040144544822790840e-03 -8.821505999999999403e+00
1.060147324530921449e-03 -6.238719999999999821e+00
1.080150104239052059e-03 9.266106999999999871e+00
1.100152883947182669e-03 3.280168299999999704e+01
1.120155663655313279e-03 5.195741100000000046e+01
1.140158443363443888e-03 7.010342300000000648e+01
1.160161223071574281e-03 6.927227800000000002e+01
1.180164002779704891e-03 5.818856699999999904e+01
1.200166782487835501e-03 3.138453799999999916e+01
1.220169562195966111e-03 7.270929999999999893e-01
1.240172341904096720e-03 -1.941544499999999829e+01
1.260175121612227330e-03 -4.457081099999999907e+01
1.280177901320357940e-03 -4.614608700000000141e+01
1.300180681028488550e-03 -3.674731299999999834e+01
1.320183460736619159e-03 -2.184405800000000042e+01
1.340186240444749769e-03 2.431366000000000138e+00
