# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.305110000000000436e-01
1.999999999999997792e-05 6.127270000000000216e-01
3.999999999999995584e-05 6.192410000000000414e-01
5.999999999999993376e-05 5.876460000000000017e-01
7.999999999999991168e-05 5.981990000000000363e-01
9.999999999999988282e-05 6.015220000000000011e-01
1.199999999999998675e-04 5.986550000000000482e-01
1.399999999999998522e-04 5.670600000000000085e-01
1.599999999999998234e-04 5.712289999999999868e-01
1.799999999999997945e-04 5.772220000000000129e-01
1.999999999999997656e-04 5.198289999999999855e-01
2.199999999999997639e-04 5.466689999999999605e-01
2.399999999999997350e-04 5.816519999999999468e-01
2.599999999999997062e-04 5.393080000000000096e-01
2.799999999999997044e-04 5.842580000000000551e-01
2.999999999999996485e-04 5.879710000000000214e-01
3.199999999999996467e-04 6.086880000000000068e-01
3.399999999999996450e-04 6.092090000000000005e-01
3.599999999999995890e-04 5.667339999999999600e-01
3.799999999999995872e-04 5.832810000000000494e-01
3.999999999999995313e-04 5.884270000000000334e-01
4.199999999999995295e-04 5.679060000000000219e-01
4.399999999999995278e-04 5.662779999999999481e-01
4.599999999999994718e-04 5.584599999999999564e-01
4.799999999999994701e-04 5.873850000000000460e-01
4.999999999999994683e-04 5.554639999999999578e-01
5.199999999999994123e-04 5.646489999999999565e-01
5.399999999999993564e-04 5.589159999999999684e-01
5.599999999999994088e-04 5.144220000000000459e-01
5.799999999999993529e-04 5.263440000000000341e-01
5.999999999999992969e-04 5.303170000000000384e-01
6.199999999999993494e-04 5.217829999999999968e-01
6.399999999999992934e-04 5.333139999999999548e-01
6.599999999999992375e-04 5.284280000000000088e-01
6.799999999999992899e-04 5.682970000000000521e-01
6.999999999999992339e-04 5.830849999999999644e-01
7.199999999999991780e-04 5.574179999999999691e-01
7.399999999999992304e-04 5.443240000000000300e-01
7.599999999999991745e-04 6.004140000000000033e-01
7.799999999999991185e-04 6.099250000000000504e-01
7.999999999999990626e-04 5.675810000000000022e-01
8.199999999999991150e-04 5.882319999999999771e-01
8.399999999999990591e-04 5.942899999999999849e-01
8.599999999999990031e-04 5.966360000000000552e-01
8.799999999999990555e-04 6.181339999999999613e-01
8.999999999999989996e-04 5.942899999999999849e-01
9.199999999999989436e-04 6.011309999999999709e-01
9.399999999999989961e-04 6.282309999999999839e-01
9.599999999999989401e-04 5.916850000000000165e-01
9.799999999999988842e-04 5.565710000000000379e-01
